"genai


",,ai02
"Some,Some,Disagree,Disagree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral","I just know its not great for the environment. As a biologist, it makes me sad. I'm not sure on my stance about the ethics of using GenAI for study. ",
"None,None,Disagree,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree",,
"Many,Many,Strongly Disagree,Strongly Disagree,Always disallowed,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral","I would rather not have GenAI incorporated into lectures - I understand that some feel it is better to prepare students to use it in the workforce, but I don't ethically feel comfortable using stolen and misappropriated content. Also,  and this may be more relevant to less coding-based courses as I'm more familiar with those courses, but given how expensive uni courses are at the moment I would rather learn to use my own brain to solve problems rather than outsourcing it to a machine to do the learning I signed up for :)",
"Some,A Few,Strongly Disagree,Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree",,
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral","I still think AI is not intelligent enough in some aspects, such as giving wrong answers... So we can't rely on it for important data processing.",
"A Few,A Few,Strongly Disagree,Neutral,Always disallowed,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral","I still think AI is not intelligent enough in some aspects, such as giving wrong answers... So we can't rely on it for important data processing.",
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral","I think GenAI is suitable for use as an auxiliary tool. If I am confused about incorrect code, I think use GenAI to learn more about relevant knowledge and solve problems.",
"A Few,A Few,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral","I think GenAI is suitable for use as an auxiliary tool. If I am confused about incorrect code, I think use GenAI to learn more about relevant knowledge and solve the problems.",
"Some,Some,Neutral,Neutral,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral","GenAI will likely reshape the job market by automating certain tasks, but it will also create new opportunities for those who know how to use it effectively. Skills in prompt engineering, AI oversight, and AI-augmented creativity will become more valuable.",
"Some,Some,Agree,Agree,Allowed in some assignments\, disallowed in others (based on the assignment type\, course level\, etc.),Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral",It can help me search some information I need and save time,
